N,M,NIST_pass_status_1,NIST_pass_status_2,NIST_pass_status_3,NIST_pass_status_4,NIST_pass_status_5,NIST_pass_status_6,NIST_pass_status_7,NIST_pass_status_8,NIST_pass_status_9,NIST_pass_status_10,NIST_pass_status_11,NIST_pass_status_12,NIST_pass_status_13,NIST_pass_status_14,NIST_pass_status_15,NIST_pass_rate,autocorr_pass_status,autocorr_coefficient,runs_pass_status,runs_p_value
18,3,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.007433007433007433,0,1.0746242055255778e-13
18,4,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.008935008935008934,0,4.1138178315004604e-19
18,5,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.007117007117007117,0,1.2112146567388546e-12
18,6,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.009635009635009635,0,0.0
18,7,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,40.0,1,0.008045008045008045,0,0.0
18,8,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,60.0,1,0.008003008003008003,0,1.2271532684180624e-15
18,9,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,53.333333333333336,1,0.010967010967010967,0,5.591458371428287e-28
18,10,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.010043010043010043,0,1.133031630425976e-23
18,11,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.00966900966900967,0,4.357807657274278e-22
18,12,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,46.666666666666664,1,0.010179010179010179,0,0.0
18,13,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009155009155009155,0,5.532947493955356e-20
18,14,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,46.666666666666664,1,0.007895007895007895,0,3.209191452874427e-15
18,15,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.009925009925009925,0,3.6960497678932214e-23
18,16,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.00876900876900877,0,0.0
18,17,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,46.666666666666664,1,0.013833013833013833,0,1.6526253318920661e-43
19,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,53.333333333333336,1,0.007435007435007435,0,1.1348403550511613e-13
